Id,SalePrice
1461,115233.2378
1462,154369.227
1463,175912.7985
1464,192193.9245
1465,209722.4343
1466,172072.6292
1467,179053.5463
1468,175529.4048
1469,213331.9392
1470,114229.5352
1471,192396.7758
1472,108694.887
1473,101880.4795
1474,152434.4243
1475,130344.9481
1476,380082.8049
1477,256786.8167
1478,328490.7856
1479,316684.8763
1480,524567.2154
1481,356892.695
1482,226519.1184
1483,177113.0663
1484,165053.0683
1485,180811.6022
1486,195463.0792
1487,345795.7312
1488,239440.0171
1489,189308.76
1490,223034.8894
1491,187374.3889
1492,105451.1851
1493,184174.4565
1494,294910.5356
1495,315200.746
1496,234267.6264
1497,181779.8657
1498,178553.2847
1499,186222.8128
1500,165255.3275
1501,184066.2722
1502,175009.5096
1503,289025.008
1504,242831.4662
1505,227725.8305
1506,194495.8852
1507,225058.3856
1508,173195.6229
1509,179854.8941
1510,144746.084
1511,149683.3157
1512,160823.1562
1513,132122.1692
1514,152299.404
1515,205117.6343
1516,142945.1715
1517,172880.4896
1518,134154.1686
1519,200502.8896
1520,125051.6099
1521,130513.6665
1522,195136.0636
1523,97718.93792
1524,121850.9972
1525,123496.5624
1526,115190.7962
1527,124779.9265
1528,128195.6736
1529,156612.8287
1530,174744.8202
1531,109458.7829
1532,94135.29077
1533,149992.2329
1534,123858.0963
1535,124166.1448
1536,103145.8185
1537,68596.47143
1538,169357.8249
1539,187891.8088
1540,102364.9831
1541,145886.4574
1542,122022.5064
1543,175974.3317
1544,89266.7672
1545,111710.4253
1546,140978.0366
1547,119007.2416
1548,113276.7837
1549,104495.6928
1550,110658.0308
1551,107683.1722
1552,107790.4927
1553,137037.3194
1554,128176.038
1555,169249.6082
1556,178799.86
1557,98012.19263
1558,99155.14361
1559,61219.27928
1560,111397.9615
1561,130129.8097
1562,134443.2463
1563,119082.567
1564,162508.8624
1565,154056.7081
1566,253709.1869
1567,88936.67553
1568,213856.3786
1569,107445.0125
1570,153740.8532
1571,111825.9696
1572,137143.9996
1573,220931.5942
1574,122843.6287
1575,234118.7858
1576,250834.6049
